id,symbol,name,image,current_price,market_cap,Rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,Variation % 24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,image_url
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95682.0,1896974782835,1,1896976313740,25996135516,96915.0,95117.0,-452.924,-0.47,-8977684176.332,-0.471,19825915,19825931.0,21000000.0,108786.0,-12.069,2025-01-20,67.81,140966.334,2013-07-06,2025-02-18 11:31,/1/large/bitcoin.png?1696501400
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2696.9,325129986914,2,325129986914,26025333801,2832.06,2658.75,-56.905,-2.07,-6919162283.013,-2.084,120556761,120556761.348,,4878.26,-44.775,2021-11-10,0.433,622110.112,2015-10-20,2025-02-18 11:31,/279/large/ethereum.png?1696501628
ripple,XRP,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.59,149923296550,3,259263104449,4164290065,2.72,2.55,-0.091,-3.38,-5224593516.601,-3.367,57818864895,99986451428.0,100000000000.0,3.4,-23.684,2018-01-07,0.003,96450.883,2014-05-22,2025-02-18 11:31,/44/large/xrp-symbol-white-128.png?1696501442
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,141729139450,4,141729139450,62447422017,1.0,1.0,-0.0,-0.02,-263566990.212,-0.186,141762384601,141762384601.695,,1.32,-24.438,2018-07-24,0.573,74.624,2015-03-02,2025-02-18 11:31,/325/large/Tether.png?1696501661
binancecoin,BNB,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,651.03,94976879795,5,94976879795,1045808042,681.01,644.53,-18.811,-2.81,-2757836970.559,-2.822,145887575,145887575.79,200000000.0,788.84,-17.521,2024-12-04,0.04,1633913.707,2017-10-19,2025-02-18 11:31,/825/large/bnb-icon2_2x.png?1696501970
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,168.93,82664750590,6,100580443959,6471722907,186.51,164.22,-14.976,-8.14,-7583212695.962,-8.403,488507519,594380308.247,,293.31,-42.345,2025-01-19,0.501,33667.745,2020-05-11,2025-02-18 11:31,/4128/large/solana.png?1718769756
usd-coin,USDC,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,56495077224,7,56497720393,5628922480,1.0,1.0,-0.0,-0.0,68641406.0,0.122,56500761723,56503405158.193,,1.17,-14.736,2019-05-08,0.878,13.929,2023-03-11,2025-02-18 11:31,/6319/large/usdc.png?1696506694
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.25,37360828230,8,37370366691,1451597072,0.27,0.25,-0.012,-4.36,-1704443224.658,-4.363,148057346383,148095146383.705,,0.732,-65.518,2021-05-08,0.0,290180.012,2015-05-06,2025-02-18 11:31,/5/large/dogecoin.png?1696501409
cardano,ADA,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.78,28057378631,9,35144079276,909696156,0.82,0.77,-0.017,-2.16,-614722111.43,-2.144,35925881809,45000000000.0,45000000000.0,3.09,-74.719,2021-09-02,0.019,3953.482,2020-03-13,2025-02-18 11:31,/975/large/cardano.png?1696502090
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2694.49,25347066038,10,25347066038,72181122,2832.41,2656.03,-64.468,-2.34,-610635690.25,-2.352,9405313,9405313.536,,4829.57,-44.259,2021-11-10,482.9,457.484,2020-12-22,2025-02-18 11:31,/13442/large/steth_logo.png?1696513206
tron,TRX,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.24,20631250511,11,20631284738,774523153,0.25,0.24,-0.007,-2.69,-571651366.305,-2.696,86092751148,86092893978.127,,0.431,-44.501,2024-12-04,0.002,13165.921,2017-11-12,2025-02-18 11:31,/1094/large/tron-logo.png?1696502193
wrapped-bitcoin,WBTC,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,95608.0,12342042773,12,12342042773,329039767,96877.0,94934.0,-291.07,-0.3,-94516010.766,-0.76,129138,129138.42,129138.42,108368.0,-11.893,2025-01-20,3139.17,2941.568,2019-04-02,2025-02-18 11:31,/7598/large/wrapped_bitcoin_wbtc.png?1696507857
chainlink,LINK,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.15,11580610812,13,18148583840,684834889,19.7,17.91,-1.231,-6.35,-788838892.195,-6.377,638099970,1000000000.0,1000000000.0,52.7,-65.55,2021-05-10,0.148,12150.913,2017-11-29,2025-02-18 11:31,/877/large/chainlink-new-logo.png?1696502009
wrapped-steth,WSTETH,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3216.94,10869785444,14,10869785444,22827754,3371.97,3175.45,-68.528,-2.09,-195871147.083,-1.77,3377876,3380875.701,,7256.02,-55.682,2022-05-13,558.54,475.744,2022-05-13,2025-02-18 11:31,/18834/large/wstETH.png?1696518295
