,id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
0,bitcoin,btc,Bitcoin,96115.0,1883298964032,1,1883298964032,106844846087,99395.0,92460.0,-3280.672,-3.301,-84176049135.762,-4.278,19819137.0,19819137.0,21000000.0,108786.0,-13.324,2025-01-20,67.81,138954.02,2013-07-06,2025-02-03T14:34:37.917Z
1,ethereum,eth,Ethereum,2614.78,309431499685,2,309431499685,96799302514,3096.77,2368.28,-481.994,-15.564,-63416441345.27,-17.009,120524819.267,120524819.267,,4878.26,-48.3,2021-11-10,0.433,582394.73,2015-10-20,2025-02-03T14:34:39.193Z
2,tether,usdt,Tether,1.001,139501176311,3,139501176311,184643449717,1.001,0.999,0.001,0.106,143410710.0,0.103,139399246306.536,139399246306.536,,1.32,-24.36,2018-07-24,0.573,74.805,2015-03-02,2025-02-03T14:34:41.033Z
3,ripple,xrp,XRP,2.31,130038714436,4,225325481841,30203779395,2.84,2.01,-0.535,-18.829,-33905792140.599,-20.681,57703732191.0,99986541057.0,100000000000.0,3.4,-31.661,2018-01-07,0.003,86358.873,2014-05-22,2025-02-03T14:34:40.703Z
4,solana,sol,Solana,195.75,94882790571,5,115593662797,17222594956,213.51,183.18,-17.759,-8.318,-8998342516.091,-8.662,486964067.6,593257848.818,,293.31,-34.676,2025-01-19,0.501,38159.31,2020-05-11,2025-02-03T14:34:39.169Z
5,binancecoin,bnb,BNB,572.03,82500807287,6,82500807287,3716667946,651.06,523.65,-79.031,-12.139,-12375806875.471,-13.044,145887575.79,145887575.79,200000000.0,788.84,-28.15,2024-12-04,0.04,1423338.733,2017-10-19,2025-02-03T14:34:37.648Z
6,usd-coin,usdc,USDC,1.0,53842022503,7,53861262447,21731813982,1.0,1.0,0.0,0.005,468077662.0,0.877,53842358947.872,53861599011.207,,1.17,-14.727,2019-05-08,0.878,13.941,2023-03-11,2025-02-03T14:34:40.139Z
7,dogecoin,doge,Dogecoin,0.251,36366680089,8,36366807956,10868163057,0.298,0.216,-0.048,-16.035,-7735260918.797,-17.54,147892576383.705,147893096383.705,,0.732,-66.472,2021-05-08,0.0,282146.385,2015-05-06,2025-02-03T14:34:38.573Z
8,cardano,ada,Cardano,0.695,24577254555,9,30805171219,3431218362,0.88,0.573,-0.185,-21.014,-7004480473.138,-22.179,35902298580.912,45000000000.0,45000000000.0,3.09,-77.824,2021-09-02,0.019,3455.64,2020-03-13,2025-02-03T14:34:40.734Z
9,staked-ether,steth,Lido Staked Ether,2602.39,24109638072,10,24109988627,788937737,3095.1,2386.98,-492.713,-15.919,-5186635153.417,-17.704,9469084.421,9469245.036,,4829.57,-47.188,2021-11-10,482.9,428.186,2020-12-22,2025-02-03T14:34:43.855Z
