date,name,symbol,market_cap,price,volume
2020-02-01,Bitcoin,BTC,170900662180.11,9392.88,25922656496.18
2020-02-01,Ethereum,ETH,20116913727.95,183.67,11569697182.49
2020-02-01,XRP,XRP,10548109280.56,0.2415,1592451417.1
2020-02-01,Bitcoin Cash,BCH,6955699068.23,381.01,3218496040.38
2020-02-01,Bitcoin SV,BSV,5086094873.05,278.65,2045188904.23
2020-02-01,Tether,USDT,4648011884.0,1.0012,34763069931.3
2020-02-01,Litecoin,LTC,4531596557.01,70.82,6009767448.79
2020-02-01,EOS,EOS,3955723016.34,4.1586,2870748186.07
2020-02-01,Binance Coin,BNB,2833617692.69,18.22,238461925.14
2020-02-01,Cardano,ADA,1454290892.69,0.05609,110646744.08
2020-02-01,Ethereum Classic,ETC,1342452894.2,11.54,2507607884.61
2020-02-01,Monero,XMR,1277954138.76,73.34,76400844.2
2020-02-01,TRON,TRX,1271241659.38,0.01906,1346616385.73
2020-02-01,Stellar,XLM,1213096236.39,0.06047,351749271.35
2020-02-01,Tezos,XTZ,1209947862.23,1.743,37226253.63
2020-02-01,Dash,DASH,1092986551.07,117.47,809915886.53
2020-02-01,Chainlink,LINK,993633620.01,2.839,121185567.04
2020-02-01,UNUS SED LEO,LEO,871420993.14,0.8719,9749460.99
2020-02-01,IOTA,MIOTA,848011089.32,0.3051,11189601.26
2020-02-01,Cosmos,ATOM,834520686.12,4.3764,153198031.42
2020-02-08,Bitcoin,BTC,179615828322.35,9865.12,35172043761.83
2020-02-08,Ethereum,ETH,24461492838.84,223.15,16741203125.07
2020-02-08,XRP,XRP,12115026113.44,0.2772,2380993304.02
2020-02-08,Bitcoin Cash,BCH,8101984212.37,443.51,4419573712.82
2020-02-08,Bitcoin SV,BSV,6141774147.42,336.25,3637921785.77
2020-02-08,Litecoin,LTC,4897092474.76,76.47,5496860398.61
2020-02-08,Tether,USDT,4640205612.82,0.9995,44251729422.38
2020-02-08,EOS,EOS,4532861110.57,4.7615,3764687323.92
2020-02-08,Binance Coin,BNB,3387965857.99,21.78,376067881.29
2020-02-08,Tezos,XTZ,1588433980.87,2.2882,93638903.48
2020-02-08,Cardano,ADA,1554184887.89,0.05994,135969080.13
2020-02-08,TRON,TRX,1457122833.76,0.02185,1566606336.23
2020-02-08,Stellar,XLM,1422649989.43,0.07085,479921993.94
2020-02-08,Monero,XMR,1406597566.94,80.67,106189645.22
2020-02-08,Ethereum Classic,ETC,1357700661.73,11.67,2458728176.25
2020-02-08,Chainlink,LINK,1195060080.04,3.4145,305697105.82
2020-02-08,Dash,DASH,1172932922.64,125.9,1229051151.29
2020-02-08,UNUS SED LEO,LEO,935565290.58,0.936,12101666.37
2020-02-08,Huobi Token,HT,905165697.24,3.8279,284265800.42
2020-02-08,Neo,NEO,895964826.09,12.7,719998979.38
